Date,Location,Event_Category,Casualty_Count,Age,Gender,Reaction_Text,Label_Status,Severity_Score
2024-09-03,Bengaluru,Building Fire,28,26,Male,I feel completely drained after hearing this news. Nothing feels normal anymore.,Depressed,3
2024-06-05,Delhi,Road Accident,27,32,Male,I feel numb reading about this. Everything feels pointless.,Depressed,3
2024-06-29,Assam,Air Pollution,35,18,Male,I’m feeling uneasy and nervous since this incident.,Anxious,2
2024-07-06,Kolkata,Building Fire,97,39,Male,This was unexpected. Hope authorities handle it well.,Neutral,0
2024-06-13,Hyderabad,Cyclone,77,34,Male,I feel numb reading about this. Everything feels pointless.,Depressed,3
2024-09-27,Kerala,Road Accident,70,36,Female,This is unfortunate news. Hope things improve soon.,Neutral,0
2024-06-06,Himachal Pradesh,Building Fire,98,36,Male,This news is making me very anxious. I keep worrying about my family.,Anxious,2
2024-07-19,Bengaluru,Disease Outbreak,81,41,Male,This news is making me very anxious. I keep worrying about my family.,Anxious,2
2024-06-27,Himachal Pradesh,Heatwave,89,22,Male,My stress levels are very high after reading about this.,Stressed,1
2024-07-30,Kerala,Heatwave,118,53,Male,I can’t relax after hearing this. My mind is constantly racing.,Anxious,2
2024-06-30,Delhi,Cyclone,51,35,Male,So much stress after hearing this. Too many things going wrong.,Stressed,1
2024-06-28,Himachal Pradesh,Disease Outbreak,50,47,Male,This situation scares me a lot. I don’t feel safe anymore.,Anxious,2
2024-07-02,Punjab,Industrial Accident,68,34,Female,This is overwhelming. I don’t know how people are coping.,Stressed,1
2024-06-29,Kolkata,Industrial Accident,63,23,Male,This was unexpected. Hope authorities handle it well.,Neutral,0
2024-08-20,Kolkata,Landslide,76,22,Female,This incident just made my heart sink. I can’t stop overthinking.,Depressed,3
2024-08-07,Bengaluru,Industrial Accident,110,18,Male,Hearing about this incident today. Very unfortunate.,Neutral,0
2024-06-15,Bengaluru,Landslide,20,47,Male,My stress levels are very high after reading about this.,Stressed,1
2024-08-04,Mumbai,Heatwave,107,50,Male,This is overwhelming. I don’t know how people are coping.,Stressed,1
2024-09-06,Kolkata,Industrial Accident,99,51,Male,This situation scares me a lot. I don’t feel safe anymore.,Anxious,2
2024-06-03,Mumbai,Cyclone,112,37,Male,This adds so much pressure to daily life.,Stressed,1
2024-09-21,Uttarakhand,Road Accident,10,49,Male,This incident just made my heart sink. I can’t stop overthinking.,Depressed,3
2024-08-24,Assam,Industrial Accident,21,34,Female,I can’t relax after hearing this. My mind is constantly racing.,Anxious,2
2024-08-31,Bengaluru,Landslide,85,41,Female,I can’t relax after hearing this. My mind is constantly racing.,Anxious,2
